Country,Toyota,Volkswagen,Ford,Honda,Kia
United States,23.0,7.0,37.0,25.0,8.0
South Africa,37.0,24.0,24.0,7.0,8.0
Germany,8.0,50.0,26.0,10.0,6.0
Canada,22.0,10.0,33.0,26.0,9.0
Australia,37.0,12.0,25.0,15.0,11.0
New Zealand,40.0,10.0,23.0,19.0,8.0
Malaysia,32.0,7.0,9.0,48.0,4.0
Austria,11.0,47.0,24.0,12.0,6.0
Romania,15.0,34.0,35.0,10.0,6.0
Indonesia,25.0,2.0,6.0,62.0,5.0
Thailand,37.0,1.0,16.0,45.0,1.0
Denmark,18.0,35.0,26.0,9.0,12.0
Philippines,30.0,2.0,16.0,46.0,6.0
Hungary,21.0,23.0,29.0,17.0,10.0
Poland,23.0,24.0,25.0,16.0,12.0
Turkey,21.0,15.0,32.0,23.0,9.0
United Kingdom,14.0,29.0,35.0,14.0,8.0
Ukraine,19.0,26.0,27.0,14.0,14.0
Russia,29.0,14.0,16.0,12.0,29.0
Slovakia,18.0,30.0,20.0,15.0,17.0
Switzerland,14.0,40.0,23.0,17.0,6.0
Chile,26.0,11.0,21.0,14.0,28.0
Netherlands,19.0,34.0,24.0,11.0,12.0
Argentina,21.0,20.0,35.0,22.0,2.0
Mexico,16.0,16.0,30.0,26.0,12.0
Ireland,20.0,29.0,29.0,13.0,9.0
Czechia,16.0,30.0,29.0,17.0,8.0
Finland,27.0,25.0,24.0,16.0,8.0
Brazil,11.0,15.0,28.0,41.0,5.0
Belgium,15.0,32.0,28.0,16.0,9.0
United Arab Emirates,34.0,9.0,19.0,24.0,14.0
India,13.0,5.0,12.0,46.0,24.0
Belarus,16.0,29.0,27.0,13.0,15.0
Vietnam,18.0,3.0,18.0,39.0,22.0
Greece,29.0,15.0,22.0,25.0,9.0
Bulgaria,26.0,26.0,16.0,23.0,9.0
Norway,27.0,25.0,26.0,14.0,8.0
Sweden,21.0,30.0,21.0,12.0,16.0
Italy,18.0,19.0,33.0,20.0,10.0
Taiwan,45.0,8.0,19.0,23.0,5.0
Israel,33.0,9.0,14.0,15.0,29.0
Portugal,21.0,23.0,24.0,26.0,6.0
Peru,35.0,11.0,11.0,23.0,20.0
Spain,20.0,22.0,25.0,20.0,13.0
Croatia,17.0,26.0,24.0,19.0,14.0
France,20.0,23.0,29.0,18.0,10.0
Colombia,22.0,10.0,22.0,27.0,19.0
South Korea,12.0,14.0,14.0,17.0,43.0
